model,task,training_scheme,epochs,imgsz,mAP50,mAP50_95,precision,recall,speed_ms_inference,model_size_mb
YOLOv8n,text detection,fine-tuning,10,640,0.5858259236298615,0.34083543097004704,0.6361853250391472,0.5488239688638876,3.8178326042710413,5.93
YOLO11n,text detection,fine-tuning,10,640,0.5865265084864895,0.3394171015275053,0.635927651679477,0.5462048192771084,3.2581044035794577,5.19
RT-DETR-L,text detection,fine-tuning,10,640,0.7182990293946662,0.45242162230689675,0.7089044662535373,0.6550602409638554,21.06251653541211,63.14
YOLOv10n,text detection,fine-tuning,10,640,0.5619467433553205,0.3250573264507561,0.6132202733795458,0.5237349397590362,2.7129787693567304,5.46
Faster R-CNN ResNet50-FPN,text detection,fine-tuning,3,original,0.5872945583643413,0.31830114742307797,0.13334449420332314,0.8379800105207785,79.0747731924057,158.06
